epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,best
1,0.729323,0.5561,0.5729,0.672881,0.5991,0.6235,1
2,0.722407,0.5710,0.6017,0.683846,0.5660,0.6201,0
3,0.723770,0.5858,0.6041,0.689886,0.5566,0.5911,0
4,0.692373,0.5809,0.6214,0.744319,0.5849,0.5944,0
5,0.694721,0.6040,0.6369,0.735277,0.5472,0.5724,0
6,0.686411,0.6073,0.6442,0.712352,0.5519,0.5781,0
7,0.693165,0.5941,0.6413,0.661089,0.5943,0.6446,1
8,0.683921,0.5924,0.6486,0.774497,0.5425,0.6454,0
9,0.662860,0.6403,0.6849,0.687410,0.6038,0.6324,0
10,0.662979,0.6551,0.6944,0.705405,0.6085,0.6536,0
11,0.646610,0.6419,0.7137,0.767427,0.5660,0.6165,0
12,0.642912,0.6502,0.7237,0.747314,0.6085,0.6428,0
13,0.652798,0.6716,0.7195,0.729339,0.5896,0.6352,0
14,0.616774,0.6865,0.7529,0.733945,0.5849,0.6286,0
15,0.624391,0.6683,0.7485,0.739261,0.5472,0.6059,0
16,0.610283,0.7294,0.7757,0.778019,0.5566,0.6001,0
17,0.587319,0.7211,0.7938,0.772050,0.5660,0.6302,0
18,0.555938,0.7426,0.8238,0.863739,0.5849,0.6130,0
19,0.557460,0.7508,0.8283,0.869758,0.5755,0.6027,0
20,0.513184,0.7657,0.8544,0.818849,0.5755,0.5951,0
21,0.513706,0.7970,0.8656,0.841170,0.5755,0.6019,0
22,0.441268,0.8218,0.9088,0.916269,0.5377,0.5796,0
23,0.426271,0.8267,0.9192,0.943991,0.5472,0.5691,0
24,0.410467,0.8581,0.9340,0.909108,0.5519,0.5848,0
25,0.342895,0.8894,0.9558,1.104114,0.5755,0.5792,0
26,0.309626,0.9175,0.9698,1.239052,0.5519,0.5668,0
27,0.288565,0.9257,0.9741,1.310885,0.5047,0.5269,0
