epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,best
1,1.345951,0.5677,0.5692,1.326402,0.5519,0.5935,1
2,1.228161,0.5726,0.5921,1.271334,0.5708,0.5991,1
3,1.192403,0.5380,0.5689,1.300911,0.5896,0.6153,0
4,1.147502,0.6106,0.6348,1.291068,0.5330,0.6050,0
5,1.147833,0.5792,0.6196,1.293136,0.5896,0.6333,0
6,1.115929,0.5726,0.6157,1.362668,0.5708,0.6206,0
7,1.104284,0.5990,0.6306,1.318860,0.5896,0.6282,0
8,1.087968,0.5842,0.6221,1.346729,0.5943,0.6325,0
9,1.045628,0.5990,0.6543,1.368924,0.5991,0.6415,0
10,1.043982,0.5957,0.6376,1.430768,0.5849,0.6274,0
11,1.019656,0.6106,0.6542,1.497486,0.5708,0.6215,0
12,0.997203,0.6073,0.6642,1.455299,0.5943,0.6287,0
13,0.992444,0.6056,0.6635,1.482419,0.5755,0.6209,0
14,0.986433,0.6188,0.6706,1.590231,0.5896,0.6357,0
15,0.972349,0.6287,0.6775,1.517446,0.5991,0.6378,0
16,0.952539,0.6485,0.6970,1.630031,0.5896,0.6198,0
17,0.936875,0.6485,0.6910,1.630224,0.5708,0.6110,0
18,0.922460,0.6485,0.7043,1.701575,0.6226,0.6169,0
19,0.911550,0.6469,0.7160,1.676372,0.5991,0.6299,0
20,0.894616,0.6469,0.7086,1.694682,0.5991,0.6258,0
21,0.887336,0.6353,0.7188,1.670254,0.5613,0.6131,0
22,0.880484,0.6568,0.7153,1.731780,0.5896,0.6202,0
