epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,best
1,0.705008,0.5512,0.5732,0.668260,0.5566,0.6059,1
2,0.696760,0.5677,0.5867,0.677554,0.5708,0.6051,0
3,0.693021,0.5743,0.5962,0.681991,0.5849,0.5969,0
4,0.677949,0.5594,0.6092,0.694087,0.5755,0.6057,0
5,0.681436,0.5875,0.6121,0.705293,0.5472,0.5715,0
6,0.679544,0.5990,0.6202,0.696374,0.5472,0.5708,0
7,0.680913,0.5875,0.6206,0.675279,0.5896,0.6130,0
8,0.681031,0.5792,0.6121,0.695650,0.5708,0.6246,0
9,0.674716,0.6007,0.6375,0.673673,0.5566,0.6146,0
10,0.674130,0.5759,0.6260,0.688172,0.5708,0.6161,0
11,0.674023,0.6023,0.6411,0.693059,0.5377,0.5842,0
12,0.681624,0.5792,0.6177,0.697417,0.5755,0.6182,0
13,0.681424,0.5825,0.6142,0.678908,0.5802,0.6201,0
14,0.674674,0.5858,0.6337,0.690970,0.5849,0.6037,0
15,0.678151,0.6139,0.6282,0.700009,0.5660,0.5731,0
16,0.678033,0.6056,0.6314,0.700105,0.5519,0.5854,0
17,0.681340,0.5776,0.6156,0.703434,0.5613,0.6050,0
18,0.668127,0.6106,0.6452,0.707623,0.5849,0.6014,0
19,0.679987,0.5825,0.6208,0.706963,0.5519,0.5876,0
20,0.679840,0.5875,0.6274,0.683473,0.5613,0.6236,0
21,0.677493,0.5825,0.6189,0.693165,0.5802,0.6210,0
