epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,best
1,0.765417,0.5347,0.5419,1.008665,0.5000,0.5699,1
2,0.772361,0.5248,0.5388,0.695196,0.5142,0.5960,1
3,0.744694,0.5677,0.5838,0.676080,0.5566,0.6020,1
4,0.735872,0.5462,0.5722,0.675908,0.5330,0.6091,1
5,0.722807,0.5710,0.5986,0.678518,0.5377,0.6111,0
6,0.730061,0.5512,0.5823,0.664402,0.5943,0.6189,1
7,0.721666,0.5743,0.5973,0.691568,0.5613,0.6230,0
8,0.723778,0.5611,0.6017,0.732232,0.5094,0.6295,0
9,0.729405,0.5611,0.5967,0.751928,0.5047,0.6205,0
10,0.710928,0.5941,0.6328,0.710729,0.5330,0.6104,0
11,0.703600,0.6007,0.6301,0.680111,0.5566,0.6278,0
12,0.717547,0.5842,0.6278,0.657713,0.5519,0.6331,1
13,0.730614,0.5792,0.6168,0.682389,0.5755,0.6338,0
14,0.697854,0.5957,0.6465,0.657302,0.5991,0.6430,1
15,0.722381,0.5924,0.6301,0.669802,0.5896,0.6179,0
16,0.716386,0.5891,0.6425,0.681166,0.5660,0.6358,0
17,0.696382,0.5908,0.6559,0.740414,0.5472,0.6494,0
18,0.693281,0.6188,0.6620,0.649727,0.6132,0.6615,1
19,0.704787,0.6089,0.6434,0.650663,0.6038,0.6512,0
20,0.699494,0.6221,0.6616,0.688874,0.5660,0.6402,0
21,0.707648,0.5858,0.6374,0.663946,0.6085,0.6581,0
22,0.681314,0.6353,0.6819,0.711473,0.5660,0.6434,0
23,0.690491,0.6271,0.6642,0.650614,0.5849,0.6628,0
24,0.685043,0.6254,0.6725,0.811473,0.5283,0.6583,0
25,0.683736,0.6254,0.6791,0.708663,0.5660,0.6606,0
26,0.702912,0.6254,0.6681,0.732656,0.5425,0.6334,0
27,0.673431,0.6518,0.6840,0.687883,0.5943,0.6190,0
28,0.688544,0.6106,0.6755,0.700052,0.5613,0.6492,0
29,0.690043,0.6205,0.6814,0.702998,0.5896,0.6493,0
30,0.668563,0.6535,0.7012,0.684739,0.5377,0.6412,0
31,0.665224,0.6535,0.7034,0.686042,0.6085,0.6411,0
32,0.693355,0.6485,0.6944,0.727996,0.5802,0.6339,0
33,0.675151,0.6320,0.7065,0.741541,0.5660,0.6447,0
34,0.666658,0.6419,0.6901,0.698440,0.5613,0.6427,0
35,0.647310,0.6733,0.7299,0.729701,0.5566,0.6206,0
36,0.672418,0.6584,0.7210,0.694671,0.5660,0.6483,0
37,0.660852,0.6650,0.7213,0.671765,0.6321,0.6465,0
38,0.638440,0.6733,0.7360,0.763952,0.5283,0.6202,0
